Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/23/2026,08/23/2026,FACEBK *SRMTSYDW62,Professional Services,Sale,-46.61,
08/20/2026,08/21/2026,UBER   *TRIP,Travel,Sale,-18.49,
08/20/2026,08/21/2026,UBER   *TRIP,Travel,Sale,-17.99,
08/16/2026,08/17/2026,FACEBK *8J9SWYDV62,Professional Services,Sale,-46.59,
07/01/2026,08/16/2026,ANNUAL FEE REFUND,Fees & Adjustments,Refund,79.20,
08/09/2026,08/12/2026,$10 PAZE CREDIT,Fees & Adjustments,Adjustment,10.00,
08/09/2026,08/12/2026,$10 PAZE CREDIT,Fees & Adjustments,Adjustment,10.00,
08/09/2026,08/12/2026,$10 PAZE CREDIT,Fees & Adjustments,Adjustment,10.00,
08/11/2026,08/11/2026,FACEBK *YFXQAX9W62,Professional Services,Sale,-46.59,
08/10/2026,08/10/2026,ANTHROPIC* CLAUDE SUB,Shopping,Sale,-20.00,
08/09/2026,08/10/2026,FACEBK *3KL72YDV62,Professional Services,Sale,-46.58,
08/08/2026,08/09/2026,DOMINO'S 4317,Food & Drink,Sale,-17.39,
08/08/2026,08/09/2026,DOMINO'S 4317,Food & Drink,Sale,-14.63,
08/08/2026,08/09/2026,DOMINO'S 4317,Food & Drink,Sale,-29.54,
08/08/2026,08/09/2026,CL *Chase Travel,Travel,Return,232.82,
08/07/2026,08/07/2026,FACEBK *UTZZRXDV62,Professional Services,Sale,-14.84,
08/06/2026,08/07/2026,FACEBK *F3RMPXZV62,Professional Services,Sale,-46.58,
08/03/2026,08/04/2026,AMAZON* YL2QF2I85,Shopping,Sale,-33.06,
08/03/2026,08/04/2026,FACEBK *TGUJUW5W62,Professional Services,Sale,-46.57,
08/01/2026,08/02/2026,FACEBK *MNZB2WVV62,Professional Services,Sale,-46.57,
07/31/2026,07/31/2026,AUTOMATIC PAYMENT - THANK,,Payment,955.60,
07/31/2026,07/31/2026,ANNUAL HOTEL CREDIT,Fees & Adjustments,Adjustment,100.00,
07/30/2026,07/31/2026,FACEBK *7XC6DW5W62,Professional Services,Sale,-46.57,
07/30/2026,07/31/2026,JWD Lamian Noodle Bar,Food & Drink,Sale,-19.68,
07/30/2026,07/31/2026,CL *Chase Travel,Travel,Sale,-255.14,
07/28/2026,07/29/2026,FACEBK *DNUARVDW62,Professional Services,Sale,-46.56,
07/28/2026,07/29/2026,PRET A MANGER,Food & Drink,Sale,-4.01,
07/26/2026,07/27/2026,FACEBK *4LAJEXMV62,Professional Services,Sale,-46.56,
07/24/2026,07/26/2026,FACEBK *S6ZX7WDV62,Professional Services,Sale,-46.55,
07/25/2026,07/26/2026,UBER   *TRIP,Travel,Sale,-10.25,
07/24/2026,07/26/2026,UBER   *TRIP,Travel,Sale,-5.68,
07/24/2026,07/26/2026,UBER   *TRIP,Travel,Sale,-6.84,
07/24/2026,07/26/2026,UBER   *TRIP,Travel,Sale,-17.15,
07/22/2026,07/23/2026,ZETTLE_*SWISS BUTTER H,Food & Drink,Sale,-33.14,
07/22/2026,07/23/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.55,
07/22/2026,07/22/2026,FACEBK *JXKEAYRV62,Professional Services,Sale,-46.55,
07/19/2026,07/21/2026,UBER   *TRIP,Travel,Sale,-38.98,
07/19/2026,07/20/2026,UBER   *TRIP,Travel,Sale,-35.47,
07/19/2026,07/20/2026,FACEBK *A8W35WHV62,Professional Services,Sale,-46.54,
07/18/2026,07/20/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-30.91,
07/17/2026,07/19/2026,ALBERT HEIJN 1458,Groceries,Sale,-36.06,
07/17/2026,07/19/2026,FACEBK *SQCQGVDV62,Professional Services,Sale,-46.54,
07/18/2026,07/19/2026,DELIVEROO,Food & Drink,Sale,-24.44,
07/18/2026,07/19/2026,UBER   *TRIP,Travel,Sale,-18.30,
07/16/2026,07/17/2026,AIRBNB * HM3NHYWA9E,Travel,Sale,-320.15,
