Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
3710,08/27/2026,08/28/2026,AIRBNB * HMJSNPZ5N9,Travel,Sale,-40.26,
3710,08/26/2026,08/28/2026,UNITED      0164726474449,Travel,Sale,-42.76,
3710,08/26/2026,08/28/2026,UNITED      0162134212246,Travel,Sale,-5.60,
3710,08/26/2026,08/28/2026,UNITED      0162134207657,Travel,Sale,-5.60,
3710,08/27/2026,08/28/2026,APPLE.COM/BILL,Merchandise & Inventory,Sale,-9.99,
3710,08/24/2026,08/26/2026,ETIHAD AIRW 6072417324642,Travel,Sale,-1621.63,
3710,08/24/2026,08/25/2026,ABC*ECAMPUS ONLN BKSTR,Merchandise & Inventory,Sale,-42.39,
3710,08/24/2026,08/25/2026,VA FAIRFAX COUNTY,Bills & Utilities,Sale,-452.43,
3710,08/22/2026,08/24/2026,TST*FILLI CAFE,Food & Drink,Sale,-27.02,
3710,08/23/2026,08/24/2026,SQ *TIFFIN HUT,Food & Drink,Sale,-6.58,
3710,08/22/2026,08/23/2026,FAIR PRICE GROCERY AND H,Food & Drink,Sale,-4.63,
